Sr_No.,Lawyer_name,Practice_area,Firm_name,Firm_size,Target_audience,Designation,Years_of_Experience,Total_cases,Successful_cases,Affiliation,Client_reviews,Nominal_fees_per_hearing,Bar_Council_ID
1774,Anita Kulkarni,International Lawyer,Gopakumar Nair Associates,191,Corporations,Legal Aid Lawyer,2,12,12,High Court,Unacceptable level of service and attention. | Inadequate preparation and subpar legal advice. | Limited understanding of my case and its complexities.,58904,NB/OR/2022/43473
1775,Bhavna Kaul,Employment Lawyer,Latham & Watkins LLP,177,Employees,In-House Counsel,5,107,96,District Court,Unacceptable level of service and attention. | Limited understanding of my case and its complexities. | Provided substandard legal service and advice.,456014,NB/UP/2019/47430
1776,Vishal Rao,Entertainment Lawyer,Lahoti Advocates,377,Media Companies,Of Counsel,14,332,243,District Court,Empathetic and understanding. Made me feel valued. | Confident and competent. I felt secure with their representation. | Excellent communication and outstanding client care.,447749,NB/WB/2010/75778
1777,Anita Joshi,International Lawyer,AnantLaw,429,Governments,Senior Associate,5,58,44,District Court,Unprofessional conduct and lack of expertise. | Misguided and failed to achieve the desired outcome. | Unresponsive to critical client inquiries and concerns.,148914,NB/BCT/2019/21476
1778,Rohit Das,Civil Lawyer,Titus & Co,427,Property Owners,Solicitor,10,133,118,High Court,Very responsive and provided excellent legal counsel. | Caring and attentive to my needs. Very pleased with the outcome. | Thorough and meticulous in every aspect of the case.,238538,NB/OR/2014/37581
1779,Vikas Kadam,Elder Lawyer,Juris Arena,224,Senior Citizens,Junior Associate / Associate,0,31,23,Supreme Court of India,Lack of professionalism and failed to keep me informed. | Disappointing experience with slow progress and poor outcomes. | Unresponsive to critical client inquiries and concerns.,68704,NB/MG/2024/53004
1780,Swati Khan,Bankruptcy Lawyer,"Chandhiok & Mahajan, Advocates and Solicitors",233,Individuals,Solicitor,9,134,112,Supreme Court of India,Confident and competent. I felt secure with their representation. | Excellent communication and outstanding client care. | Very responsive and provided excellent legal counsel.,534266,NB/MAH/2015/31385
1781,Kiran Patel,Real Estate Lawyer,Argus Partners,354,Property Buyers,Government Counsel,7,158,113,High Court,Outstanding client service and thorough legal representation. | Clear explanations and transparent throughout the process. | Reliable and trustworthy. Delivered on their promises.,94070,NB/RJ/2017/89350
1782,Sneha Dubey,Constitutional Lawyer,Krishna & Saurastri Associates LLP,26,Government Bodies,Counsel,11,193,138,Bar Council of India,Confident and competent. I felt secure with their representation. | Exceptional legal skills and always available to answer questions. | Great advocate. Got me the best possible result in my case.,221755,NB/TS/2013/97907
1783,Aakash Rajput,Tax Lawyer,Argus Partners,154,Businesses,Advocate,2,20,18,District Court,Unreliable and frequently missed critical meetings. | Provided incorrect information and poor advice. | Subpar service and lack of attention to my case.,147057,NB/TR/2022/79165
1784,Harish Joshi,Labor Lawyer,Legacy Law Offices,442,Labor Unions,Counsel,8,162,148,High Court,"Great support throughout the legal process. | Very knowledgeable in their field and easy to communicate with. | Professional, reliable, and easy to work with. Satisfied client.",201070,NB/MP/2016/80552
1785,Amit Verma,Real Estate Lawyer,Jones Day,417,Landlords,Junior Associate / Associate,2,22,19,Supreme Court of India,Very satisfied with the outcome and the service provided. | Great attention to detail and thorough in handling my case. | Clear explanations and transparent throughout the process.,36980,NB/MN/2022/10591
1786,Siddharth Rao,Environmental Lawyer,Mahendra Bhavsar & Co,364,Corporations,Government Counsel,10,105,75,Bar Council of India,Poor attention to detail led to errors in my case. | Unresponsive and did not address all my concerns. | Failure to meet deadlines and follow through on promises.,101906,NB/MN/2014/46149
1787,Siddharth Dubey,Environmental Lawyer,freelancing,39,Advocacy Groups,Non-Equity Partner,15,267,188,Supreme Court of India,Proactive and strategic. Achieved a favorable outcome. | Great advocate. Got me the best possible result in my case. | Outstanding client service and thorough legal representation.,650431,NB/WB/2009/71851
1788,Divya Gupta,Banking and Finance Lawyer,Remfry & Sagar,177,Borrowers,Non-Equity Partner,15,202,150,Bar Council of India,"Professional approach and excellent outcome in my case. | Professional, reliable, and easy to work with. Satisfied client. | Very knowledgeable in their field and easy to communicate with.",1371412,NB/JH/2009/59401
1789,Shweta Pandey,Personal Injury Lawyer,Zeus Law Associates,441,Workers,Government Counsel,8,103,100,Supreme Court of India,Ineffective communication and lack of detailed information. | Unresponsive and did not address all my concerns. | Poor representation and lack of thorough case handling.,126531,NB/OR/2016/69272
1790,Simran Singh,Securities Lawyer,Sidley Austin LLP,226,Corporations,Solicitor,7,145,131,Supreme Court of India,Disappointing experience with slow progress and poor outcomes. | Failure to provide effective legal representation. | Inconsistent with follow-ups and overall handling.,269851,NB/RJ/2017/96061
1791,Anupam Kulkarni,Constitutional Lawyer,AZB & PARTNERS,266,Civil Rights Groups,Legal Aid Lawyer,2,19,19,Bar Council of India,Exceptional legal skills and always available to answer questions. | Clear explanations and transparent throughout the process. | Efficient handling of my case with a favorable result.,31718,NB/WB/2022/25185
1792,Neha Ghosh,Civil Rights Lawyer,Hogan Lovells US LLP,69,Advocacy Groups,Independent Legal Consultant,10,148,122,District Court,"Unacceptable delays and lack of proper follow-up. | Felt like just another case, not a priority. | Made me feel undervalued and ignored my inputs.",414131,NB/TR/2014/64509
1793,Divya Chaudhary,Criminal Lawyer,Juris Legal,182,Prosecutors,In-House Counsel,5,141,115,Bar Council of India,Dedicated and diligent. Always kept me informed. | Excellent service. Made a stressful situation much easier to handle. | Exceptional service with a strong focus on client needs.,579519,NB/UK/2019/31454
1794,Sameer Shetty,Banking and Finance Lawyer,SNG & PARTNERS,74,Investors,Legal Aid Lawyer,1,11,9,Bar Council of India,Misguided and failed to achieve the desired outcome. | Overpromised and underdelivered. Disappointed with the service. | Poor handling of legal documents and paperwork.,36513,NB/BCT/2023/48289
1795,Kunal Verma,Banking and Finance Lawyer,Kirkland & Ellis LLP,239,Financial Institutions,Principal Associate,5,114,109,District Court,"Professional, reliable, and easy to work with. Satisfied client. | Efficient handling of my case with a favorable result. | Excellent service. Made a stressful situation much easier to handle.",181086,NB/RJ/2019/22723
1796,Sneha Pandey,Real Estate Lawyer,Fox Mandal & Associates,494,Property Buyers,Government Counsel,8,175,130,Supreme Court of India,Responsive and proactive. Addressed all my concerns promptly. | Always available and attentive to my needs. | Consistently high-quality service and reliable support.,96211,NB/MG/2016/54606
1797,Anand Kapoor,Criminal Lawyer,AK & Partners,14,Government Agencies,Managing Associate,8,245,235,High Court,Dedicated to their clients and achieved favorable outcomes. | Experienced and skilled. Made me feel confident throughout. | Consistently high-quality service and reliable support.,229340,NB/JH/2016/61680
1798,Abhishek Dubey,Bankruptcy Lawyer,Gravitas Legal,182,Businesses,Advocate,2,16,12,High Court,Failure to communicate important updates and changes. | Poor attention to detail led to errors in my case. | Inadequate preparation and subpar legal advice.,108807,NB/BR/2022/75115
1799,Simran Chopra,Intellectual Property Lawyer,Hammurabi & Solomon Partners,12,Companies,Solicitor,9,140,120,Supreme Court of India,Consistently high-quality service and reliable support. | Very satisfied with the outcome and the service provided. | Proactive and strategic in handling my legal issues.,278315,NB/BCT/2015/65267
1800,Sunita Sharma,Health Lawyer,King & Spalding LLP,24,Healthcare Providers,Advocate,1,11,10,High Court,Clear communication and prompt responses. Highly recommend. | Effective and result-oriented. Highly satisfied with the service. | Proactive and strategic. Achieved a favorable outcome.,50338,NB/TN/2023/61598
1801,Abhishek Joshi,Securities Lawyer,S&R Associates,278,Stockbrokers,Legal Aid Lawyer,1,12,9,Supreme Court of India,Very professional and handled my case with great expertise. | Trustworthy and results-oriented. I felt well-represented. | Proactive and strategic in handling my legal issues.,31207,NB/CG/2023/92846
1802,Aakash Verma,Employment Lawyer,AnantLaw,28,Employees,Non-Equity Partner,12,295,278,High Court,"Professional, reliable, and easy to work with. Satisfied client. | Professional and reliable. Made the legal process smooth and manageable. | Great advocate. Got me the best possible result in my case.",1091723,NB/KL/2012/81292
1803,Siddhi Das,Securities Lawyer,Khaitan & Co.,422,Investors,Legal Aid Lawyer,2,10,9,District Court,Unreliable and ineffective in managing legal proceedings. | Felt my case was not handled with enough urgency. | Unprofessional approach and lack of legal acumen.,45944,NB/JK/2022/49098
1804,Siddharth Sethi,Corporate Lawyer,Goswami & Nigam LLP,108,Startups,Non-Equity Partner,10,260,198,Bar Council of India,Disappointing experience with slow progress and poor outcomes. | Failure to communicate important updates and changes. | Failure to provide effective legal representation.,1257330,NB/KAR/2014/73940
1805,Arjun Shetty,Education Lawyer,Juris Corp,184,Teachers,Non-Equity Partner,10,254,234,Bar Council of India,Poorly handled legal negotiations and settlements. | Overpromised and underdelivered. Disappointed with the service. | Did not address all legal issues in a timely manner.,756857,NB/BR/2014/17550
1806,Abhishek Pandey,Criminal Lawyer,Saga Legal,390,Government Agencies,Senior Associate,4,50,48,Supreme Court of India,Disorganized and failed to meet case requirements. | Ineffective communication and lack of detailed information. | Mismanaged client expectations and case strategy.,129736,NB/DL/2020/81121
1807,Anirudh Dubey,Civil Rights Lawyer,Dhir & Dhir Associates,345,Nonprofits,Managing Partner,22,553,391,Supreme Court of India,Supportive and empathetic. Always had my best interests in mind. | Committed and dedicated. Helped me navigate the legal system effectively. | Great advocate. Got me the best possible result in my case.,3440431,NB/MG/2002/94567
1808,Siddharth Kadam,Constitutional Lawyer,Phoenix Legal,416,Civil Rights Groups,Senior Associate,3,60,48,Supreme Court of India,Poor attention to detail led to errors in my case. | Provided vague advice and seemed disinterested. | Failed to provide clear explanations and advice.,90658,NB/TR/2021/26589
1809,Jyoti Bhat,Criminal Lawyer,Fox Mandal & Associates,57,Government Agencies,Counsel,11,227,165,Bar Council of India,Highly recommended for their expertise and professionalism. | Excellent communication and outstanding client care. | Proficient in handling legal matters with great care.,241178,NB/JH/2013/40499
1810,Kavita Gupta,Elder Lawyer,Latham & Watkins LLP,447,Families,Government Counsel,6,150,150,Bar Council of India,Provided incorrect information and poor advice. | Unsatisfactory result and poor management of my case. | Inadequate preparation and subpar legal advice.,134452,NB/CG/2018/19560
1811,Rashmi Thakur,Corporate Lawyer,Gopakumar Nair Associates,143,Business Executives,Solicitor,6,199,144,Supreme Court of India,Supportive and empathetic. Always had my best interests in mind. | Highly knowledgeable and provided excellent advice throughout. | Top-notch service. Went above and beyond to ensure a positive result.,531185,NB/UK/2018/29078
1812,Abhishek Kadam,Tax Lawyer,Kachwaha & Partners,457,Corporations,Solicitor,5,108,89,Supreme Court of India,Did not provide adequate support or guidance. | Unacceptable delays and lack of proper follow-up. | Provided substandard legal service and advice.,575571,NB/MAH/2019/40816
1813,Arjun Joshi,Labor Lawyer,Gopakumar Nair Associates,15,Workers,Legal Aid Lawyer,2,19,18,District Court,Very professional and handled my case with great expertise. | Very responsive and provided excellent legal counsel. | Highly knowledgeable and provided excellent advice throughout.,30748,NB/MAH/2022/87908
1814,Harish Dubey,Corporate Lawyer,"Chandhiok & Mahajan, Advocates and Solicitors",345,Corporations,Legal Aid Lawyer,1,10,10,Bar Council of India,Very knowledgeable in their field and easy to communicate with. | Proactive and strategic. Achieved a favorable outcome. | Outstanding client service and thorough legal representation.,49770,NB/G/2023/47293
1815,Rashmi Menon,Securities Lawyer,RNA Technology and IP Attorneys,412,Stockbrokers,Legal Advisor,10,110,107,High Court,Skilled and effective. Managed my case with precision and care. | Confident and competent. I felt secure with their representation. | Dedicated to their clients and achieved favorable outcomes.,529489,NB/WB/2014/71830
1816,Arjun Rajput,International Lawyer,Just Law,165,Corporations,Counsel,11,211,186,High Court,Dedicated to their clients and achieved favorable outcomes. | Experienced and skilled. Made me feel confident throughout. | Responsive and proactive. Addressed all my concerns promptly.,389894,NB/AP/2013/39422
1817,Rekha Patel,Maritime Lawyer,Duane Morris & Selvam LLP,354,Vessel Owners,Counsel,11,152,109,Supreme Court of India,Did not represent my interests effectively in court. | Unacceptable level of service and attention. | Poor representation and lack of thorough case handling.,396498,NB/RJ/2013/97291
1818,Nikhil Bhat,Bankruptcy Lawyer,Hammurabi & Solomon Partners,226,Individuals,Legal Aid Lawyer,3,17,16,Bar Council of India,Poorly handled legal negotiations and settlements. | Provided incorrect information and poor advice. | Unreliable and frequently missed critical meetings.,46536,NB/G/2021/32684
1819,Asha Lal,Intellectual Property Lawyer,IndusLaw,416,Companies,Independent Legal Consultant,10,166,139,Bar Council of India,Experienced and skilled. Made me feel confident throughout. | Excellent communication and outstanding client care. | Very satisfied with the outcome and the service provided.,140639,NB/BCT/2014/48171
1820,Shivani Saxena,International Lawyer,Legacy Law Offices,428,International Organizations,Managing Partner,17,522,498,Supreme Court of India,Great strategic thinking and problem-solving skills. | Knowledgeable and detail-oriented. Provided great support. | Very professional and handled my case with great expertise.,4603130,NB/CG/2007/86556
1821,Shivani Pillai,Sports Lawyer,Pioneer Legal,411,Athletes,Senior Associate,3,54,37,District Court,Efficient and effective. Made a complex process straightforward. | Thorough preparation and outstanding legal advice. | Exceptional negotiation skills. Secured a great deal for me.,128513,NB/TR/2021/64201
1822,Asha Kulkarni,Animal Lawyer,Veritas Legal,121,Zoos,Solicitor,10,151,114,Supreme Court of India,Efficient and effective. Made a complex process straightforward. | Dedicated and diligent. Always kept me informed. | Confident and competent. I felt secure with their representation.,482424,NB/G/2014/74867
1823,Sanjay Shetty,Education Lawyer,Stratage Law,157,Teachers,Government Counsel,9,127,96,District Court,Excellent service. Made a stressful situation much easier to handle. | Dedicated and diligent. Always kept me informed. | Great attention to detail and thorough in handling my case.,76831,NB/MN/2015/86649
1824,Priya Chaudhary,Bankruptcy Lawyer,De Penning & De Penning,478,Individuals,Senior Associate,4,51,40,Bar Council of India,Failure to meet deadlines and follow through on promises. | Provided incorrect information and poor advice. | Felt my case was not handled with enough urgency.,86577,NB/MN/2020/84772
1825,Bhavna Bhagat,Civil Rights Lawyer,Hogan Lovells US LLP,462,Individuals,Senior Advocate,15,332,254,Supreme Court of India,Skilled and effective. Managed my case with precision and care. | Highly knowledgeable and provided excellent advice throughout. | Exceptional negotiation skills. Secured a great deal for me.,938471,NB/KL/2009/86875
1826,Aakash Kaul,Elder Lawyer,"Chandhiok & Mahajan, Advocates and Solicitors",362,Elder Advocacy Organizations,Non-Equity Partner,14,262,214,Bar Council of India,Professional demeanor and exceptional legal expertise. | Confident and competent. I felt secure with their representation. | Professional and reliable. Made the legal process smooth and manageable.,525830,NB/KL/2010/15900
1827,Manoj Singh,Securities Lawyer,Duane Morris & Selvam LLP,467,Investors,Senior Advocate,14,266,219,Bar Council of India,Clear explanations and transparent throughout the process. | Excellent communication and outstanding client care. | Exceptional legal skills and always available to answer questions.,853808,NB/JH/2010/57463
1828,Sneha Khan,Intellectual Property Lawyer,Tuli & Co,417,Companies,Government Counsel,5,105,92,Supreme Court of India,"Efficient handling of my case with a favorable result. | Professional, reliable, and easy to work with. Satisfied client. | Supportive and empathetic. Always had my best interests in mind.",75306,NB/OR/2019/36193
1829,Jyoti Rajput,Civil Lawyer,LexCounsel,138,Contract Disputants,Advocate,3,14,10,District Court,Efficient handling of my case with a favorable result. | Top-notch service. Went above and beyond to ensure a positive result. | Excellent communication and outstanding client care.,155546,NB/KAR/2021/60864
1830,Ishaan Singh,Animal Lawyer,Jones Day,176,Zoos,Junior Associate / Associate,1,25,17,Supreme Court of India,Empathetic and understanding. Made me feel valued. | Top-notch service. Went above and beyond to ensure a positive result. | Always available and attentive to my needs.,71598,NB/JH/2023/53772
1831,Divya Thakur,Personal Injury Lawyer,"BRUS CHAMBERS, Advocates & Solicitors",122,Accident Victims,Senior Advocate,14,333,250,Bar Council of India,Exceptional legal skills and always available to answer questions. | Empathetic and understanding. Made me feel valued. | Exceptional negotiation skills. Secured a great deal for me.,464443,NB/RJ/2010/75223
1832,Kunal Sethi,Education Lawyer,Hogan Lovells US LLP,394,Students,Government Counsel,6,104,93,Supreme Court of India,Professional approach and excellent outcome in my case. | Very professional and handled my case with great expertise. | Proactive and strategic. Achieved a favorable outcome.,139397,NB/TS/2018/20790
1833,Arjun Verma,Sports Lawyer,Anhad Law,241,Sports Teams,Senior Advocate,11,257,186,High Court,Unresponsive and did not address all my concerns. | Poor handling of legal documents and paperwork. | Inadequate preparation and subpar legal advice.,868902,NB/TN/2013/48691
1834,Shivani Menon,Family Lawyer,AnantLaw,415,Domestic Partners,Legal Advisor,7,199,177,High Court,Top-notch service. Went above and beyond to ensure a positive result. | Thorough and meticulous in every aspect of the case. | Exceptional legal skills and always available to answer questions.,504977,NB/HP/2017/89851
1835,Dinesh Menon,Animal Lawyer,Dhwaj & Associates,452,Pet Owners,Legal Advisor,8,125,98,High Court,Exceptional service with a strong focus on client needs. | Top-notch service. Went above and beyond to ensure a positive result. | Great advocate. Got me the best possible result in my case.,417672,NB/OR/2016/23926
1836,Priya Basu,Sports Lawyer,Argus Partners,54,Sports Organizations,Managing Partner,22,573,526,District Court,Confident and competent. I felt secure with their representation. | Great strategic thinking and problem-solving skills. | Experienced and skilled. Made me feel confident throughout.,1811420,NB/CG/2002/74822
1837,Divya Pandey,Personal Injury Lawyer,Desai & Diwanji,116,Workers,In-House Counsel,9,179,140,Bar Council of India,Trustworthy and results-oriented. I felt well-represented. | Provided excellent counsel and achieved excellent results. | Very knowledgeable in their field and easy to communicate with.,364435,NB/AP/2015/26783
1838,Ritika Kadam,Family Lawyer,TMT Law Practice,262,Domestic Partners,Government Counsel,7,134,114,Bar Council of India,Dedicated to their clients and achieved favorable outcomes. | Professional demeanor and exceptional legal expertise. | Efficient and effective. Made a complex process straightforward.,129625,NB/BR/2017/73279
1839,Sneha Rao,Family Lawyer,TMT Law Practice,237,Parents,Advocate,1,11,8,Bar Council of India,Top-notch service. Went above and beyond to ensure a positive result. | Caring and attentive to my needs. Very pleased with the outcome. | Professional demeanor and exceptional legal expertise.,58582,NB/UP/2023/40111
1840,Pooja Rajput,Entertainment Lawyer,freelancing,180,Media Companies,Managing Associate,9,241,190,District Court,"Failure to communicate important updates and changes. | Felt like just another case, not a priority. | Not as knowledgeable as expected. Did not meet my expectations.",315359,NB/DL/2015/56387
1841,Kiran Basu,Criminal Lawyer,Phoenix Legal,316,Crime Victims,Managing Associate,12,250,186,High Court,Highly knowledgeable and provided excellent advice throughout. | Reliable and trustworthy. Delivered on their promises. | Efficient and effective. Made a complex process straightforward.,229559,NB/OR/2012/42348
1842,Meera Chaudhary,Bankruptcy Lawyer,White & Case LLP,217,Businesses,Non-Equity Partner,12,267,246,Bar Council of India,Supportive and empathetic. Always had my best interests in mind. | Responsive and proactive. Addressed all my concerns promptly. | Clear explanations and transparent throughout the process.,1100045,NB/UK/2012/43460
1843,Anand Joshi,Animal Lawyer,Sidley Austin LLP,173,Animal Sanctuaries,Advocate,1,20,18,Bar Council of India,Empathetic and understanding. Made me feel valued. | Consistently high-quality service and reliable support. | Skilled and effective. Managed my case with precision and care.,54364,NB/DL/2023/97893
1844,Rashmi Pillai,Business Lawyer,Obhan & Associates,259,Business Owners,Counsel,12,211,154,Bar Council of India,Great strategic thinking and problem-solving skills. | Proficient in handling legal matters with great care. | Committed and dedicated. Helped me navigate the legal system effectively.,314207,NB/MN/2012/71336
1845,Kunal Reddy,Military Lawyer,Talwar Thakore & Associates,444,Government Agencies,Senior Advocate,14,300,243,District Court,Trustworthy and results-oriented. I felt well-represented. | Exceptional service with a strong focus on client needs. | Always available and attentive to my needs.,648186,NB/KAR/2010/33768
1846,Pratik Sharma,Sports Lawyer,AK & Partners,223,Agencies,Of Counsel,12,261,222,Supreme Court of India,Always available and attentive to my needs. | Caring and attentive to my needs. Very pleased with the outcome. | Highly knowledgeable and provided excellent advice throughout.,492970,NB/MP/2012/23498
1847,Tanvi Dubey,Corporate Lawyer,AQUILAW,427,Business Executives,Advocate,1,12,8,Bar Council of India,Very knowledgeable in their field and easy to communicate with. | Outstanding client service and thorough legal representation. | Very professional and handled my case with great expertise.,123418,NB/MN/2023/91964
1848,Suman Mehta,Municipal Lawyer,India Law Offices,409,Municipal Agencies,Counsel,9,243,210,Supreme Court of India,Great strategic thinking and problem-solving skills. | Outstanding client service and thorough legal representation. | Supportive and empathetic. Always had my best interests in mind.,215419,NB/HP/2015/63929
1849,Abhishek Lal,Sports Lawyer,Juris Corp,401,Agencies,Senior Associate,5,59,55,Supreme Court of India,Thorough preparation and outstanding legal advice. | Confident and competent. I felt secure with their representation. | Thorough and meticulous in every aspect of the case.,99974,NB/TR/2019/56925
1850,Anita Das,Education Lawyer,Stratage Law,208,Teachers,Junior Associate / Associate,2,29,20,High Court,Exceptional service with a strong focus on client needs. | Highly knowledgeable and provided excellent advice throughout. | Outstanding client service and thorough legal representation.,33862,NB/JH/2022/50941
1851,Rajesh Kulkarni,Environmental Lawyer,S.K. Singhi & Co. LLP,207,Government Agencies,Legal Aid Lawyer,1,10,10,Bar Council of India,Highly recommended for their expertise and professionalism. | Very professional and handled my case with great expertise. | Very knowledgeable in their field and easy to communicate with.,45981,NB/DL/2023/71335
1852,Sanjay Rajput,Real Estate Lawyer,Kirkland & Ellis LLP,134,Property Buyers,Senior Advocate,13,330,284,Bar Council of India,Poor attention to detail led to errors in my case. | Failure to meet deadlines and follow through on promises. | Disappointing experience with slow progress and poor outcomes.,293494,NB/RJ/2011/66993
1853,Ajay Das,Securities Lawyer,Goswami & Nigam LLP,363,Investors,Legal Aid Lawyer,3,13,12,District Court,Consistently high-quality service and reliable support. | Professional demeanor and exceptional legal expertise. | Great strategic thinking and problem-solving skills.,39022,NB/UP/2021/77089
1854,Rekha Mishra,Banking and Finance Lawyer,India Law Offices,82,Financial Institutions,Managing Associate,11,226,184,Supreme Court of India,Great attention to detail and thorough in handling my case. | Effective and result-oriented. Highly satisfied with the service. | Efficient and effective. Made a complex process straightforward.,290380,NB/OR/2013/90525
1855,Amit Menon,Intellectual Property Lawyer,Lall & Sethi,277,Creators,Counsel,11,195,140,High Court,"Clear communication and prompt responses. Highly recommend. | Exceptional service with a strong focus on client needs. | Professional, reliable, and easy to work with. Satisfied client.",363100,NB/TN/2013/98320
1856,Deepak Basu,Environmental Lawyer,Hammurabi & Solomon Partners,391,Government Agencies,Senior Advocate,11,300,228,District Court,Top-notch service. Went above and beyond to ensure a positive result. | Confident and competent. I felt secure with their representation. | Great strategic thinking and problem-solving skills.,344380,NB/WB/2013/67348
1857,Kunal Reddy,Business Lawyer,AZB & PARTNERS,37,Business Owners,Principal Associate,6,80,67,Supreme Court of India,Dedicated and diligent. Always kept me informed. | Provided excellent counsel and achieved excellent results. | Reliable and trustworthy. Delivered on their promises.,241248,NB/JK/2018/90598
1858,Rohit Shetty,Maritime Lawyer,Kachwaha & Partners,177,Vessel Owners,Advocate,1,15,13,District Court,Proactive and strategic. Achieved a favorable outcome. | Great support throughout the legal process. | Exceptional service with a strong focus on client needs.,165672,NB/RJ/2023/99780
1859,Vikram Rao,Intellectual Property Lawyer,Phoenix Legal,49,Companies,Senior Associate,3,46,40,High Court,Proactive and strategic. Achieved a favorable outcome. | Great support throughout the legal process. | Provided excellent counsel and achieved excellent results.,130651,NB/RJ/2021/52605
1860,Manoj Patel,Municipal Lawyer,Milbank,359,City Councils,Legal Advisor,6,130,126,Bar Council of India,Mismanaged my case and provided inadequate support. | Subpar service and lack of attention to my case. | Inadequate preparation and subpar legal advice.,350172,NB/UP/2018/33939
1861,Nikhil Patel,Intellectual Property Lawyer,Zeus Law Associates,416,Inventors,Junior Associate / Associate,2,24,19,Bar Council of India,Failure to meet deadlines and follow through on promises. | Felt my case was not handled with enough urgency. | Poor attention to detail led to errors in my case.,49242,NB/TN/2022/48972
1862,Anjali Khan,Sports Lawyer,Sim And San,45,Sports Organizations,Solicitor,9,159,155,Supreme Court of India,Dedicated to their clients and achieved favorable outcomes. | Supportive and empathetic. Always had my best interests in mind. | Efficient and effective. Made a complex process straightforward.,436496,NB/TS/2015/11729
1863,Shweta Kadam,Criminal Lawyer,Spice Route Legal,490,Government Agencies,Senior Associate,5,58,42,Bar Council of India,Poor attention to detail led to errors in my case. | Limited understanding of my case and its complexities. | Mismanaged my case and provided inadequate support.,137457,NB/MP/2019/37737
1864,Anjali Chopra,Immigration Lawyer,Phoenix Legal,195,Immigrants,Managing Associate,8,239,204,Supreme Court of India,Empathetic and understanding. Made me feel valued. | Very knowledgeable in their field and easy to communicate with. | Excellent communication and outstanding client care.,273206,NB/MP/2016/48733
1865,Kavita Agarwal,Environmental Lawyer,Milbank,305,Corporations,Managing Associate,11,175,137,District Court,Experienced and skilled. Made me feel confident throughout. | Excellent communication and outstanding client care. | Exceptional service with a strong focus on client needs.,309974,NB/WB/2013/72406
1866,Rekha Chopra,Entertainment Lawyer,AQUILAW,162,Filmmakers,Legal Aid Lawyer,3,11,7,Supreme Court of India,Trustworthy and results-oriented. I felt well-represented. | Consistently high-quality service and reliable support. | Reliable and trustworthy. Delivered on their promises.,45276,NB/UK/2021/86894
1867,Sunita Iyer,Education Lawyer,AZB & PARTNERS,440,Parents,Managing Partner,16,490,440,District Court,Proactive and strategic in handling my legal issues. | Proficient in handling legal matters with great care. | Very responsive and provided excellent legal counsel.,1474859,NB/BR/2008/45306
1868,Vishal Basu,Immigration Lawyer,Indialaw LLP,428,Corporations,Legal Aid Lawyer,3,16,13,District Court,Proactive and strategic. Achieved a favorable outcome. | Professional approach and excellent outcome in my case. | Very satisfied with the outcome and the service provided.,47931,NB/G/2021/89363
1869,Shweta Patel,Bankruptcy Lawyer,Lakshmikumaran & Sridharan,28,Businesses,Government Counsel,6,123,117,Bar Council of India,Provided excellent counsel and achieved excellent results. | Great attention to detail and thorough in handling my case. | Very professional and handled my case with great expertise.,97467,NB/OR/2018/33627
1870,Kavita Rao,Civil Rights Lawyer,Veritas Legal,489,Nonprofits,Non-Equity Partner,12,295,276,High Court,Provided excellent counsel and achieved excellent results. | Great strategic thinking and problem-solving skills. | Exceptional legal skills and always available to answer questions.,731007,NB/UK/2012/18013
1871,Harish Khan,International Lawyer,Solomon & Co. Advocates & Solicitors,355,Governments,Counsel,8,236,232,District Court,Proactive and strategic. Achieved a favorable outcome. | Skilled and effective. Managed my case with precision and care. | Committed and dedicated. Helped me navigate the legal system effectively.,368677,NB/KAR/2016/87848
1872,Priya Singh,Tax Lawyer,Latham & Watkins LLP,374,Taxpayers,Solicitor,6,183,159,Supreme Court of India,Clear communication and prompt responses. Highly recommend. | Professional approach and excellent outcome in my case. | Reliable and trustworthy. Delivered on their promises.,329060,NB/OR/2018/28242
1873,Sanjay Bhagat,Employment Lawyer,Saga Legal,199,Labor Unions,Solicitor,10,184,184,Supreme Court of India,Always available and attentive to my needs. | Empathetic and understanding. Made me feel valued. | Exceptional legal skills and always available to answer questions.,271486,NB/OR/2014/64304
1874,Rajesh Khan,Real Estate Lawyer,Phoenix Legal,191,Landlords,Non-Equity Partner,13,260,235,Supreme Court of India,Limited understanding of my case and its complexities. | Did not provide adequate representation and support. | Did not represent my interests effectively in court.,1479427,NB/HP/2011/32281
1875,Pooja Rao,Criminal Lawyer,Mansukhlal Hiralal & Company,43,Prosecutors,Advocate,3,11,9,Supreme Court of India,Provided excellent counsel and achieved excellent results. | Always available and attentive to my needs. | Exceptional legal skills and always available to answer questions.,141973,NB/JH/2021/90134
1876,Bhavna Pandey,Elder Lawyer,Agrud Partners,22,Nursing Homes,Senior Associate,3,56,55,High Court,Not very responsive. I had to chase for updates. | Mismanaged my case and provided inadequate support. | Unprofessional behavior and missed important deadlines.,127316,NB/RJ/2021/73873
1877,Amit Kadam,Immigration Lawyer,Debevoise & Plimpton LLP,487,Immigrants,Independent Legal Consultant,10,180,144,Bar Council of India,Very professional and handled my case with great expertise. | Very knowledgeable in their field and easy to communicate with. | Committed and dedicated. Helped me navigate the legal system effectively.,250310,NB/G/2014/41948
